FSC-A	FSC-H	FSC-W	SSC-A	SSC-H	SSC-W	CD34	CD38	7-AAD	Column	Row	Time	Well
369	232	407	251	157	408	253	252	253	1	A	3.2067	A1
334	235	364	206	137	384	256	275	229	2	A	3.47816	A2
431	250	443	374	210	457	257	518	379	3	A	3.75866	A3
351	208	432	307	167	471	250	622	427	4	A	4.0854	A4
455	259	449	313	165	486	350	626	438	5	A	4.425269999999999	A5
396	244	415	278	161	442	408	542	379	6	A	4.80123	A6
448	247	465	231	137	430	367	654	466	7	A	5.28987	A7
458	271	433	247	146	434	357	590	388	8	A	5.71364	A8
477	262	466	259	132	500	341	577	404	9	A	6.08566	A9
379	254	383	161	118	349	365	251	262	10	A	6.3354099999999995	A10
371	234	406	282	155	465	383	280	353	11	A	6.62408	A11
420	232	464	310	160	497	338	267	272	12	A	6.89935	A12
336	233	369	172	108	408	319	247	217	13	A	7.2266699999999995	A13
507	267	487	357	183	500	372	252	267	14	A	7.49545	A14
371	220	432	343	194	451	320	256	330	14	B	7.868460000000001	B14
380	251	388	238	134	455	317	251	272	13	B	8.197460000000001	B13
400	241	425	313	180	445	301	251	327	12	B	8.463	B12
448	257	447	322	189	437	307	254	264	11	B	8.72798	B11
389	257	388	257	148	443	295	278	283	10	B	8.99987	B10
413	250	422	284	162	448	312	560	383	9	B	9.38895	B9
422	257	420	229	138	424	462	565	363	8	B	9.723460000000001	B8
372	248	384	178	112	407	447	606	418	7	B	10.0338	B7
415	237	448	232	150	396	308	603	396	6	B	10.3321	B6
411	231	455	303	170	457	362	606	431	5	B	10.712	B5
351	248	362	130	87	383	233	418	319	4	B	10.9659	B4
360	252	366	145	100	372	241	421	303	3	B	11.2363	B3
394	242	417	226	123	473	238	262	245	2	B	11.4996	B2
332	233	365	180	114	403	255	325	260	1	B	11.8279	B1
470	261	462	307	169	466	260	361	337	1	C	12.0928	C1
358	247	370	151	98	394	254	459	343	2	C	12.3613	C2
352	233	386	179	115	398	244	382	310	3	C	12.6306	C3
364	236	394	240	145	423	238	527	368	4	C	12.956	C4
370	229	414	198	122	415	373	573	427	5	C	13.2451	C5
452	250	463	273	160	437	318	631	466	6	C	13.5162	C6
434	260	427	201	116	442	468	631	451	7	C	13.8454	C7
339	225	386	120	78	397	321	577	419	8	C	14.2783	C8
445	228	499	230	126	466	477	661	470	9	C	14.6764	C9
446	259	441	357	182	503	310	254	341	10	C	14.9692	C10
397	218	466	304	169	459	295	238	313	11	C	15.2745	C11
330	210	402	223	132	433	336	278	297	12	C	15.6366	C12
359	238	386	187	110	436	305	255	232	13	C	15.8982	C13
397	223	456	340	188	463	309	255	241	14	C	16.1986	C14
372	232	410	220	129	438	299	271	248	14	D	16.4959	D14
367	218	431	305	170	460	304	257	280	13	D	16.8146	D13
482	270	457	341	185	472	417	252	301	12	D	17.078	D12
415	244	435	336	186	461	293	265	279	11	D	17.3711	D11
431	241	458	294	159	475	292	260	294	10	D	17.631	D10
390	249	402	160	103	398	311	596	368	9	D	17.8737	D9
373	247	386	154	96	413	323	569	390	8	D	18.1602	D8
473	256	473	330	177	477	336	584	380	7	D	18.4447	D7
430	239	461	274	144	486	350	543	401	6	D	18.8153	D6
481	252	489	218	116	481	311	584	395	5	D	19.0867	D5
392	249	403	206	132	400	235	539	337	4	D	19.3246	D4
405	263	394	188	114	422	251	450	322	3	D	19.6517	D3
337	237	364	160	100	409	243	421	288	2	D	19.9176	D2
479	278	441	254	145	448	267	247	266	1	D	20.2441	D1
380	256	379	167	97	443	259	288	331	1	E	20.5135	E1
319	228	358	168	109	394	242	369	281	2	E	20.8387	E2
383	249	394	171	110	398	251	413	309	3	E	21.105999999999998	E3
384	238	413	305	182	429	248	307	305	4	E	21.4343	E4
365	196	476	359	204	451	419	547	382	5	E	22.1033	E5
