"Input Files Workflow ID"	"Input Files Workflow Level"	"Input Files "	"File ID"	"File Name"	"Creation Date"	"RT Range in min"	"Instrument Name"	"Software Revision"
"-10696"	"1"	"11859"	"F1"	"C:\DATA\Benjamin\RETICLE\raw\scMS\MS3_750\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_750ms_2.raw"	"06/19/2021 21:02:33"	"0.00 - 127.01"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10696"	"1"	"11860"	"F2"	"C:\DATA\Benjamin\RETICLE\raw\scMS\MS3_750\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_750ms_3.raw"	"06/20/2021 14:59:50"	"0.00 - 127.02"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10696"	"1"	"11861"	"F3"	"C:\DATA\Benjamin\RETICLE\raw\scMS\MS3_750\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_750ms_4.raw"	"06/22/2021 01:51:30"	"0.00 - 127.03"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10696"	"1"	"11862"	"F4"	"C:\DATA\Benjamin\RETICLE\raw\scMS\MS3_750\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_750ms_5.raw"	"06/22/2021 19:49:43"	"0.00 - 127.01"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10696"	"1"	"11863"	"F5"	"C:\DATA\Benjamin\RETICLE\raw\scMS\MS3_750\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_750ms_6.raw"	"06/23/2021 13:47:35"	"0.00 - 127.05"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10696"	"1"	"11864"	"F6"	"C:\DATA\Benjamin\RETICLE\raw\scMS\MS3_750\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_750ms_7.raw"	"06/24/2021 07:45:38"	"0.00 - 127.03"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10696"	"1"	"11865"	"F7"	"C:\DATA\Benjamin\RETICLE\raw\scMS\MS3_750\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_750ms_8.raw"	"06/25/2021 19:27:41"	"0.07 - 127.00"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10696"	"1"	"11866"	"F8"	"C:\DATA\Benjamin\RETICLE\raw\scMS\MS3_750\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_750ms_9.raw"	"06/26/2021 13:41:42"	"0.00 - 127.04"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10696"	"1"	"11867"	"F9"	"C:\DATA\Benjamin\RETICLE\raw\scMS\MS3_750\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_750ms_10.raw"	"06/27/2021 07:38:53"	"0.00 - 127.02"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10696"	"1"	"11868"	"F10"	"C:\DATA\Benjamin\RETICLE\raw\scMS\MS3_750\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS3_750ms_11.raw"	"07/05/2021 18:13:13"	"0.00 - 127.00"	"Orbitrap Eclipse"	"3.4.3072.18"
