	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A	1	1	1	1	1	1	1	1	1	1	1	1	1	1			17	17	17	17	17	17	17	17
B	2	2	2	2	2	2	2	2	2	2	2	2	2	2			17	17	17	17	17	17		
C	3	3	3	3	3	3	3	3	3	3	3	3	3	3			18	18	18	18	18	18	18	18
D	4	4	4	4	4	4	4	4	4	4	4	4	4	4			18	18	18	18	18	18		
E	5	5	5	5	5	5	5	5	5	5	5	5	5	5			19	19	19	19	19	19	19	19
F	6	6	6	6	6	6	6	6	6	6	6	6	6	6			19	19	19	19	19	19		
G	7	7	7	7	7	7	7	7	7	7	7	7	7	7			20	20	20	20	20	20	20	20
H	8	8	8	8	8	8	8	8	8	8	8	8	8	8			20	20	20	20	20	20		
I	9	9	9	9	9	9	9	9	9	9	9	9	9	9			21	21	21	21	21	21	21	21
J	10	10	10	10	10	10	10	10	10	10	10	10	10	10			21	21	21	21	21	21		
K	11	11	11	11	11	11	11	11	11	11	11	11	11	11			22	22	22	22	22	22	22	22
L	12	12	12	12	12	12	12	12	12	12	12	12	12	12			22	22	22	22	22	22		
M	13	13	13	13	13	13	13	13	13	13	13	13	13	13			23	23	23	23	23	23	23	23
N	14	14	14	14	14	14	14	14	14	14	14	14	14	14			23	23	23	23	23	23		
O	15	15	15	15	15	15	15	15	15	15	15	15	15	15			24	24	24	24	24	24	24	24
P	16	16	16	16	16	16	16	16	16	16	16	16	16	16			24	24	24	24	24	24		
