"Input Files Workflow ID"	"Input Files Workflow Level"	"Input Files "	"File ID"	"File Name"	"Creation Date"	"RT Range in min"	"Instrument Name"	"Software Revision"
"-10684"	"1"	"11883"	"F1"	"C:\DATA\Benjamin\RETICLE\raw\scMS\RETICLE_750\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro7_150nlmin_2CV_scMS_RETICLE_750ms_2.raw"	"06/20/2021 07:48:03"	"0.00 - 127.03"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10684"	"1"	"11884"	"F2"	"C:\DATA\Benjamin\RETICLE\raw\scMS\RETICLE_750\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro7_150nlmin_2CV_scMS_RETICLE_750ms_3.raw"	"06/21/2021 20:28:11"	"0.00 - 127.05"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10684"	"1"	"11885"	"F3"	"C:\DATA\Benjamin\RETICLE\raw\scMS\RETICLE_750\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro7_150nlmin_2CV_scMS_RETICLE_750ms_4.raw"	"06/22/2021 12:37:19"	"0.00 - 127.00"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10684"	"1"	"11886"	"F4"	"C:\DATA\Benjamin\RETICLE\raw\scMS\RETICLE_750\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro7_150nlmin_2CV_scMS_RETICLE_750ms_5.raw"	"06/23/2021 06:35:22"	"0.00 - 127.00"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10684"	"1"	"11887"	"F5"	"C:\DATA\Benjamin\RETICLE\raw\scMS\RETICLE_750\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro7_150nlmin_2CV_scMS_RETICLE_750ms_6.raw"	"06/24/2021 00:33:51"	"0.07 - 127.02"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10684"	"1"	"11888"	"F6"	"C:\DATA\Benjamin\RETICLE\raw\scMS\RETICLE_750\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro7_150nlmin_2CV_scMS_RETICLE_750ms_7.raw"	"06/24/2021 18:31:08"	"0.00 - 127.00"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10684"	"1"	"11889"	"F7"	"C:\DATA\Benjamin\RETICLE\raw\scMS\RETICLE_750\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro7_150nlmin_2CV_scMS_RETICLE_750ms_8.raw"	"06/26/2021 06:30:27"	"0.00 - 127.01"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10684"	"1"	"11890"	"F8"	"C:\DATA\Benjamin\RETICLE\raw\scMS\RETICLE_750\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro7_150nlmin_2CV_scMS_RETICLE_750ms_9.raw"	"06/27/2021 00:27:33"	"0.00 - 127.02"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10684"	"1"	"11891"	"F9"	"C:\DATA\Benjamin\RETICLE\raw\scMS\RETICLE_750\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro7_150nlmin_2CV_scMS_RETICLE_750ms_10_faulty.raw"	"06/27/2021 18:24:40"	"0.00 - 111.24"	"Orbitrap Eclipse"	"3.4.3072.18"
"-10684"	"1"	"11892"	"F10"	"C:\DATA\Benjamin\RETICLE\raw\scMS\RETICLE_750\20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro7_150nlmin_2CV_scMS_RETICLE_750ms_11.raw"	"07/06/2021 15:27:13"	"0.00 - 127.00"	"Orbitrap Eclipse"	"3.4.3072.18"
