File Name	Plate	Sample
20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro7_150nlmin_2CV_scMS_RETICLE_750ms_2.raw	1	18
20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro7_150nlmin_2CV_scMS_RETICLE_750ms_3.raw	1	24
20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro7_150nlmin_2CV_scMS_RETICLE_750ms_4.raw	2	6
20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro7_150nlmin_2CV_scMS_RETICLE_750ms_5.raw	2	12
20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro7_150nlmin_2CV_scMS_RETICLE_750ms_6.raw	2	18
20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro7_150nlmin_2CV_scMS_RETICLE_750ms_7.raw	2	24
20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro7_150nlmin_2CV_scMS_RETICLE_750ms_8.raw	3	6
20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro7_150nlmin_2CV_scMS_RETICLE_750ms_9.raw	3	12
20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro7_150nlmin_2CV_scMS_RETICLE_750ms_10_faulty.raw	3	18
20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro7_150nlmin_2CV_scMS_RETICLE_750ms_11.raw	3	24
