FSC-A,FSC-W,FSC-H,SSC-A,SSC-W,SSC-H,PE-A,APC-Cy7-A,PE-Cy5-A,Time,IdxRow,IdxCol,Well
120635.046875,123799.1640625,63861,73759.9140625,118798.96875,40690,1441.43223816215,61.2000007629395,691.679992675781,1646.19995117188,A,01,A01
102006.4609375,110280.53125,60619,77183.59375,120925.265625,41830,25.5079106438795,96.0500030517578,103.839996337891,1892.5,A,02,A02
98665.3984375,104176.578125,62069,44425.6796875,107944.578125,26972,3602.70777389993,96.9000015258789,1365.76000976562,2085.30004882812,A,03,A03
96813.3046875,104621.265625,60645,74944.4765625,112156.5859375,43792,282.47187978452,64.5999984741211,198,2318.10009765625,A,04,A04
106383.4765625,107776.40625,64689,60161.91796875,105123.765625,37506,3348.89807678187,3034.5,789.359985351562,2490.80004882812,A,05,A05
100538.8515625,99685.5234375,66097,30957.6796875,103856.796875,19535,4195.70011546607,1110.09997558594,816.640014648438,2704.80004882812,A,06,A06
147655.453125,133586.609375,72438,67290.078125,132897.0625,33183,4815.29802334795,491.300018310547,1127.28002929688,2938.80004882812,A,07,A07
107550.265625,110021.453125,64064,37794.63671875,115911.3359375,21369,8671.45597948393,504.900024414062,1498.64001464844,3198.5,A,08,A08
122023.4453125,110422.7890625,72421,42783.51953125,115948.25,24182,5650.41674967348,502.350006103516,1342,3372.19995117188,A,09,A09
91487.546875,101956.03125,58807,74408.875,108137.4921875,45095,236.67035808963,394.400024414062,778.799987792969,3524.30004882812,A,10,A10
124466.5,115876.8828125,70394,71332.5546875,118657.046875,39398,180.360193800948,316.200012207031,153.119995117188,3710.39990234375,A,11,A11
117767.46875,121175.15625,63693,93337.9140625,127048.28125,48147,218.195604850664,352.75,315.920013427734,3893.30004882812,A,12,A12
117916.1015625,113770.546875,67924,85934.15625,116960.8203125,48151,217.294737015352,518.5,221.759994506836,4083.30004882812,A,13,A13
119367.6875,114029.5234375,68604,57933.19921875,115310.3984375,32926,180.350136788716,396.100006103516,369.600006103516,4324,A,14,A14
127658.9296875,126813.328125,65973,79777.359375,113230.1484375,46174,276.27870937645,328.100006103516,120.559997558594,4715,B,13,B13
127413.2890625,121349.1640625,68811,73224.3203125,126785.4453125,37850,240.196246784591,347.650024414062,315.920013427734,4880.7001953125,B,12,B12
115148.1953125,126271.3046875,59763,71209.8359375,117614.046875,39679,174.998455040578,965.600036621094,647.679992675781,5045.5,B,11,B11
103589.765625,105503.8984375,64347,81187.59375,114473.1015625,46480,226.994736725328,359.550018310547,386.320007324219,5258.10009765625,B,10,B10
126554.4375,126042.8359375,65802,49339.6796875,119107.3046875,27148,5791.20788821071,571.200012207031,1601.59997558594,5462.10009765625,B,09,B09
123577.390625,118449.796875,68373,54742.4765625,115617.2421875,31030,3173.22375281911,447.100006103516,748,5678.10009765625,B,08,B08
106160.9765625,109234.53125,63692,59789.59765625,112203.5078125,34922,5810.4825411791,1252.05004882812,1018.15997314453,5916.7998046875,B,07,B07
100511.2578125,100829.734375,65329,49149.359375,110238.2890625,29219,3997.51976130919,2544.90014648438,1173.0400390625,6148.2001953125,B,06,B06
104950.578125,116448.671875,59065,55761.6796875,119553.6796875,30567,4374.36325491964,927.350036621094,1207.35998535156,6443.89990234375,B,05,B05
100771.140625,98112.3359375,67312,35239.359375,98157.375,23528,4465.1156236284,35.7000007629395,923.119995117188,6640.60009765625,B,04,B04
96315.796875,99166.59375,63652,26068.638671875,102676.5078125,16639,311.50565242048,113.900001525879,197.119995117188,6831.5,B,03,B03
84995,96036.8359375,58001,56503.19921875,101850.921875,36357,249.031113157249,70.5500030517578,233.199996948242,7021.2001953125,B,02,B02
99523.359375,110909.453125,58808,75398.9609375,108722.8828125,45449,2020.46799764417,95.2000045776367,561.440002441406,7210.89990234375,B,01,B01
96590.8046875,95882.6796875,66020,37827.91796875,105322.8984375,23538,2282.70927175312,85,536.799987792969,7402.60009765625,C,01,C01
92655.2265625,100035.46875,60701,28749.759765625,110942.9609375,16983,1612.1532938408,53.5500030517578,430.320007324219,7632,C,02,C02
100932.2265625,98310.0625,67284,36498.796875,99678.515625,23997,3841.19823933983,13.6000003814697,798.159973144531,7822.2001953125,C,03,C03
110372.4609375,107436.390625,67327,66441.4375,101437.5078125,42926,2462.21495469022,198.900009155273,700.47998046875,8051.5,C,04,C04
93183.890625,100244.5703125,60920,31586.87890625,105048.1015625,19706,7501.01334166035,848.300048828125,1610.40002441406,8240.400390625,C,05,C05
100383.9921875,110818.921875,59365,37081.19921875,91932.8671875,26434,5934.63541883035,669.800048828125,1280.40002441406,8474.900390625,C,06,C06
103835.40625,105408.4296875,64558,28250.55859375,108055.8359375,17134,4581.13802406875,1126.25,979.440002441406,8755.2001953125,C,07,C07
123533.78125,113216.8359375,71508,49464.4765625,113184.03125,28641,7289.84952278554,559.299987792969,1664.07995605469,8961.400390625,C,08,C08
