Well,IdxRow,IdxCol,FSC-A,FSC-W,FSC-H,SSC-A,SSC-W,SSC-H,PE-A,APC-Cy7-A,PE-Cy5-A,Time,nbrCell
A01,A,01,120635.046875,123799.1640625,63861,73759.9140625,118798.96875,40690,1441.43223816215,61.2000007629395,691.679992675781,1646.19995117188,1
A02,A,02,102006.4609375,110280.53125,60619,77183.59375,120925.265625,41830,25.5079106438795,96.0500030517578,103.839996337891,1892.5,1
A03,A,03,98665.3984375,104176.578125,62069,44425.6796875,107944.578125,26972,3602.70777389993,96.9000015258789,1365.76000976562,2085.30004882812,1
A04,A,04,96813.3046875,104621.265625,60645,74944.4765625,112156.5859375,43792,282.47187978452,64.5999984741211,198,2318.10009765625,1
A05,A,05,106383.4765625,107776.40625,64689,60161.91796875,105123.765625,37506,3348.89807678187,3034.5,789.359985351562,2490.80004882812,1
A06,A,06,100538.8515625,99685.5234375,66097,30957.6796875,103856.796875,19535,4195.70011546607,1110.09997558594,816.640014648438,2704.80004882812,1
A07,A,07,147655.453125,133586.609375,72438,67290.078125,132897.0625,33183,4815.29802334795,491.300018310547,1127.28002929688,2938.80004882812,1
A08,A,08,107550.265625,110021.453125,64064,37794.63671875,115911.3359375,21369,8671.45597948393,504.900024414062,1498.64001464844,3198.5,1
A09,A,09,122023.4453125,110422.7890625,72421,42783.51953125,115948.25,24182,5650.41674967348,502.350006103516,1342,3372.19995117188,1
A10,A,10,91487.546875,101956.03125,58807,74408.875,108137.4921875,45095,236.67035808963,394.400024414062,778.799987792969,3524.30004882812,1
A11,A,11,124466.5,115876.8828125,70394,71332.5546875,118657.046875,39398,180.360193800948,316.200012207031,153.119995117188,3710.39990234375,1
A12,A,12,117767.46875,121175.15625,63693,93337.9140625,127048.28125,48147,218.195604850664,352.75,315.920013427734,3893.30004882812,1
A13,A,13,117916.1015625,113770.546875,67924,85934.15625,116960.8203125,48151,217.294737015352,518.5,221.759994506836,4083.30004882812,1
A14,A,14,119367.6875,114029.5234375,68604,57933.19921875,115310.3984375,32926,180.350136788716,396.100006103516,369.600006103516,4324,1
A17,A,17,103065.5546875,99330.953125,68000,45474,101803.109375,29274,1832.1510470615,71.4000015258789,174.240005493164,52279.19921875,1
A18,A,18,111872.109375,104406.75,70222,69329.515625,117302.0859375,38734,921.357738572014,17.8500003814697,482.239990234375,52463,1
A19,A,19,79458.3125,91368.7734375,56993,38172.16015625,100710.578125,24840,420.634634655859,42.5,14.0799999237061,52651.80078125,1
A20,A,20,96222.3515625,108459.0859375,58142,53186.63671875,114482.1953125,30447,414.457543191328,178.5,177.759994506836,52882.1015625,1
A21,A,21,91283.7421875,109203.234375,54782,61427.59765625,107931.015625,37299,5456.68901354143,1516.40002441406,1244.31994628906,53123.8984375,1
A22,A,22,101351.421875,103219.3828125,64350,38539.27734375,106817.9375,23645,3959.7897656325,1670.25,1026.07995605469,53321.3984375,1
A23,A,23,128516,118829.890625,70878,41928.63671875,118242.3984375,23239,9093.868566915,408,1719.52001953125,53583.80078125,1
A24,A,24,96419.0390625,114529.171875,55173,35611.6796875,107744.1953125,21661,6848.08397972446,605.200012207031,1142.23999023438,53811.6015625,1
B01,B,01,99523.359375,110909.453125,58808,75398.9609375,108722.8828125,45449,2020.46799764417,95.2000045776367,561.440002441406,7210.89990234375,1
B02,B,02,84995,96036.8359375,58001,56503.19921875,101850.921875,36357,249.031113157249,70.5500030517578,233.199996948242,7021.2001953125,1
B03,B,03,96315.796875,99166.59375,63652,26068.638671875,102676.5078125,16639,311.50565242048,113.900001525879,197.119995117188,6831.5,1
B04,B,04,100771.140625,98112.3359375,67312,35239.359375,98157.375,23528,4465.1156236284,35.7000007629395,923.119995117188,6640.60009765625,1
B05,B,05,104950.578125,116448.671875,59065,55761.6796875,119553.6796875,30567,4374.36325491964,927.350036621094,1207.35998535156,6443.89990234375,1
B06,B,06,100511.2578125,100829.734375,65329,49149.359375,110238.2890625,29219,3997.51976130919,2544.90014648438,1173.0400390625,6148.2001953125,1
B07,B,07,106160.9765625,109234.53125,63692,59789.59765625,112203.5078125,34922,5810.4825411791,1252.05004882812,1018.15997314453,5916.7998046875,1
B08,B,08,123577.390625,118449.796875,68373,54742.4765625,115617.2421875,31030,3173.22375281911,447.100006103516,748,5678.10009765625,1
B09,B,09,126554.4375,126042.8359375,65802,49339.6796875,119107.3046875,27148,5791.20788821071,571.200012207031,1601.59997558594,5462.10009765625,1
B10,B,10,103589.765625,105503.8984375,64347,81187.59375,114473.1015625,46480,226.994736725328,359.550018310547,386.320007324219,5258.10009765625,1
B11,B,11,115148.1953125,126271.3046875,59763,71209.8359375,117614.046875,39679,174.998455040578,965.600036621094,647.679992675781,5045.5,1
B12,B,12,127413.2890625,121349.1640625,68811,73224.3203125,126785.4453125,37850,240.196246784591,347.650024414062,315.920013427734,4880.7001953125,1
B13,B,13,127658.9296875,126813.328125,65973,79777.359375,113230.1484375,46174,276.27870937645,328.100006103516,120.559997558594,4715,1
B17,B,17,118767.828125,119429.3515625,65173,72169.7578125,127060.96875,37224,2992.59681989704,9241.2001953125,1446.71997070312,52115.8984375,1
B18,B,18,100427.6015625,109545.84375,60081,93449.1953125,117508.078125,52118,187.377092613101,499.800018310547,460.239990234375,55558.19921875,1
