IdxRow,IdxCol
A,01
A,02
A,03
A,04
A,05
A,06
A,07
A,08
A,09
A,10
A,11
A,12
A,13
A,14
B,14
B,13
B,12
B,11
B,10
B,09
B,08
B,07
B,06
B,05
B,04
B,03
B,02
B,01
C,01
C,02
C,03
C,04
C,05
C,06
C,07
C,08
C,09
C,10
C,11
C,12
C,13
C,14
D,14
D,13
D,12
D,11
D,10
D,09
D,08
D,07
D,06
D,05
D,04
D,03
D,02
D,01
E,01
E,02
E,03
E,04
E,05
E,06
E,07
E,08
E,09
E,10
E,11
E,12
E,13
E,14
F,14
F,13
F,12
F,11
F,10
F,09
F,08
F,07
F,06
F,05
F,04
F,03
F,02
F,01
G,01
G,02
G,03
G,04
G,05
G,06
G,07
G,08
G,09
G,10
G,11
G,12
G,13
G,14
H,14
H,13
H,12
H,11
H,10
H,09
H,08
H,07
H,06
H,05
H,04
H,03
H,02
H,01
I,01
I,02
I,03
I,04
I,05
I,06
I,07
I,08
I,09
I,10
I,11
I,12
I,13
I,14
J,14
J,13
J,12
J,11
J,10
J,09
J,08
J,07
J,06
J,05
J,04
J,03
J,02
J,01
K,01
K,02
K,03
K,04
K,05
K,06
K,07
K,08
K,09
K,10
K,11
K,12
K,13
K,14
L,14
L,13
L,12
L,11
L,10
L,09
L,08
L,07
L,06
L,05
L,04
L,03
L,02
L,01
M,01
M,02
M,03
M,04
M,05
M,06
M,07
M,08
M,09
M,10
M,11
M,12
M,13
M,14
N,14
N,13
N,12
N,11
N,10
N,09
N,08
N,07
N,06
N,05
N,04
N,03
N,02
N,01
O,01
O,02
O,03
O,04
O,05
O,06
O,07
O,08
O,09
O,10
O,11
O,12
O,13
O,14
P,14
P,13
P,12
P,11
P,10
P,09
P,08
P,07
P,06
P,05
P,04
P,03
P,02
P,01
P,17
O,17
N,17
M,17
L,17
K,17
J,17
I,17
H,17
G,17
F,17
E,17
D,17
C,17
B,17
A,17
A,18
A,19
A,20
A,21
A,22
A,23
A,24
C,24
C,23
C,22
B,22
B,21
B,20
B,19
B,18
C,18
C,19
C,20
C,21
D,21
D,20
D,19
D,18
E,18
E,19
E,20
E,21
E,22
D,22
E,23
E,24
G,24
G,23
G,22
F,22
F,21
F,20
F,19
F,18
G,18
G,19
G,20
G,21
H,21
H,20
H,19
H,18
I,18
I,19
I,20
I,21
I,22
H,22
I,23
I,24
K,24
K,23
K,22
J,22
J,21
J,20
J,19
J,18
K,18
K,19
K,20
K,21
L,21
L,20
L,19
L,18
M,18
M,19
M,20
M,21
M,22
L,22
M,23
M,24
O,24
O,23
O,22
N,22
N,21
N,20
N,19
N,18
O,18
O,19
O,20
O,21
P,21
P,20
P,19
P,18
P,22
