"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD34","CD38","7-AAD","IdxCol","IdxRow","Time"
402,253,407,237,150,404,247,276,242,85,939,0
402,259,398,176,109,412,250,367,292,122,939,3
373,215,444,378,218,445,253,258,340,160,939,6
418,258,415,255,152,429,239,479,355,197,939,9
425,249,438,239,145,422,534,626,463,234,939,13
452,262,442,248,140,454,317,595,413,271,939,16
456,249,469,273,145,481,480,639,441,308,939,19
475,254,480,289,142,520,318,577,386,345,939,25
486,269,463,282,151,479,318,544,385,382,939,28
385,230,428,278,168,424,304,295,316,419,939,30
450,272,423,249,147,434,312,270,221,456,939,33
511,277,472,361,182,509,308,284,379,493,939,36
426,260,420,289,165,448,293,267,300,531,939,39
399,244,419,387,243,407,306,251,285,568,939,43
358,224,409,281,172,417,300,262,271,568,882,46
383,237,413,290,161,460,327,260,301,531,882,49
416,251,424,281,151,476,341,258,287,493,882,52
469,262,457,293,150,501,300,243,252,456,882,55
392,236,425,294,174,432,295,267,306,419,882,58
462,250,474,229,124,473,444,624,442,382,882,60
465,268,444,269,132,523,500,646,457,345,882,63
367,244,385,146,91,410,349,599,393,308,882,66
403,260,398,188,127,379,509,585,379,271,882,70
397,252,403,185,118,402,457,588,447,234,882,74
416,256,416,218,131,426,236,641,464,197,882,77
521,273,488,294,150,500,232,632,421,160,882,80
429,265,414,173,108,412,263,640,433,122,882,84
436,260,430,210,128,420,252,433,280,85,882,86
341,219,398,278,166,427,254,404,317,85,825,89
493,272,465,301,161,477,249,419,281,122,825,92
359,245,375,159,103,396,242,330,286,160,825,95
467,261,458,289,158,470,250,549,368,197,825,98
389,259,385,144,92,402,313,623,465,234,825,101
472,260,465,295,177,426,678,550,450,271,825,105
404,243,424,181,104,448,511,620,442,308,825,109
481,274,450,225,126,458,314,581,428,345,825,112
401,265,388,164,103,406,342,555,370,382,825,116
402,240,429,250,153,418,295,290,256,419,825,120
452,232,498,352,179,504,413,274,320,456,825,122
393,237,425,309,178,445,364,253,303,493,825,126
390,235,425,305,189,413,345,247,370,531,825,129
391,234,427,352,194,466,322,251,274,568,825,132
395,210,483,271,141,494,335,248,259,568,768,135
410,236,444,336,179,481,305,263,255,531,768,138
422,253,427,312,173,462,462,256,327,493,768,141
423,254,427,301,161,477,305,253,344,456,768,144
366,217,432,298,167,456,352,276,331,419,768,147
355,236,385,171,108,404,430,606,439,382,768,151
384,257,383,178,107,428,384,548,397,345,768,155
427,268,407,215,130,425,459,552,354,308,768,159
468,251,477,317,179,453,404,570,369,271,768,166
463,266,446,265,156,436,431,602,398,234,768,169
390,253,394,147,89,424,265,326,261,197,768,172
374,251,382,230,138,425,251,316,253,160,768,174
392,255,394,199,122,419,247,509,412,122,768,178
442,234,484,281,155,463,251,514,343,85,768,181
375,255,376,140,95,377,251,492,281,85,711,183
412,252,419,202,120,431,246,520,359,122,711,186
441,257,440,333,188,454,265,458,356,160,711,189
369,242,391,177,112,404,246,467,369,197,711,192
366,244,384,172,111,397,473,632,458,234,711,194
398,232,439,221,132,428,478,661,442,271,711,197
454,263,442,263,147,458,552,609,445,308,711,201
454,255,456,189,108,445,462,636,468,345,711,205
410,224,468,331,189,449,315,583,459,382,711,210
477,269,454,365,181,518,307,293,434,419,711,213
395,254,398,231,130,453,318,256,261,456,711,216
423,243,446,374,212,451,354,255,310,493,711,219
392,245,409,262,153,438,300,250,286,531,711,222
398,233,437,282,177,406,326,251,436,568,711,225
418,257,417,358,207,442,295,261,313,568,654,228
354,219,412,290,184,404,333,278,273,531,654,231
393,244,412,361,193,480,382,287,382,493,654,234
413,255,415,277,169,420,305,260,293,456,654,238
321,211,391,217,133,417,309,252,249,419,654,241
394,239,422,176,113,398,488,622,432,382,654,245
432,265,417,192,112,439,369,583,400,345,654,250
460,264,446,238,126,482,502,550,413,308,654,253
437,239,467,177,95,478,443,583,393,271,654,256
470,258,466,293,180,416,538,604,427,234,654,260
385,229,431,295,172,438,225,487,353,197,654,262
375,236,407,203,126,412,249,557,366,160,654,265
385,243,405,242,139,445,240,258,251,122,654,268
343,244,360,163,105,399,248,395,312,85,654,271
340,239,364,175,114,395,245,298,263,85,597,274
329,225,375,186,117,407,245,242,257,122,597,277
391,255,392,136,81,428,249,454,274,160,597,280
380,255,382,215,139,397,231,308,304,197,597,283
454,267,435,244,143,438,633,553,424,234,597,287
382,245,399,188,127,378,330,646,456,271,597,291
411,262,401,184,113,419,338,574,363,308,597,294
406,261,398,199,115,445,626,556,410,345,597,297
457,245,478,258,149,445,383,547,387,382,597,300
452,252,460,368,193,488,299,266,265,419,597,303
388,234,424,301,186,415,296,262,324,456,597,306
382,224,436,316,173,467,321,261,244,493,597,310
450,253,454,336,176,490,312,253,230,531,597,313
491,265,474,326,173,482,335,248,281,568,597,316
420,255,421,329,212,397,365,264,335,568,540,319
458,259,453,307,153,514,298,267,263,531,540,322
459,267,440,289,149,497,334,292,319,493,540,325
401,241,427,316,178,455,304,263,278,456,540,328
484,252,492,358,182,502,351,263,330,419,540,331
371,240,396,175,106,424,335,599,405,382,540,333
359,250,367,142,90,402,319,561,344,345,540,337
470,270,447,249,139,460,404,614,441,308,540,340
394,240,421,188,112,429,339,567,378,271,540,345
415,257,413,212,121,447,592,598,423,234,540,349
400,252,406,232,140,424,236,239,269,197,540,352
366,236,398,224,133,430,261,296,275,160,540,355
390,253,395,214,137,401,245,407,302,122,540,358
395,241,420,310,187,426,242,586,425,85,540,361
413,269,393,166,103,411,244,378,258,85,484,364
408,245,426,284,154,472,252,259,228,122,484,367
324,221,375,266,180,378,241,270,279,160,484,370
340,228,382,201,128,401,242,418,297,197,484,373
372,244,391,171,109,401,354,590,400,234,484,376
488,265,473,275,137,513,336,565,398,271,484,380
397,244,417,206,124,426,555,605,444,308,484,383
434,259,428,275,143,492,531,544,366,345,484,387
350,220,407,160,112,365,374,610,429,382,484,390
492,265,476,365,199,470,381,270,308,419,484,393
335,216,397,279,174,410,339,250,322,456,484,396
405,258,402,287,164,448,294,283,246,493,484,399
521,275,486,309,162,488,327,251,243,531,484,402
428,247,445,309,179,443,376,252,274,568,484,405
376,239,402,284,161,452,302,279,288,568,427,408
400,226,453,267,142,481,297,263,291,531,427,411
389,240,415,293,154,487,309,271,269,493,427,414
443,261,435,280,157,458,343,275,262,456,427,417
388,240,414,331,199,426,304,263,241,419,427,420
419,233,460,253,146,443,314,562,418,382,427,423
366,248,379,186,121,393,575,592,437,345,427,426
381,236,413,218,136,409,437,626,457,308,427,430
400,253,404,195,118,422,314,565,390,271,427,433
527,274,492,314,159,505,336,558,416,234,427,437
386,253,390,231,138,430,249,260,300,197,427,440
410,260,403,284,174,417,233,574,416,160,427,443
344,225,391,241,148,417,250,258,310,122,427,445
347,243,366,199,133,384,238,255,224,85,427,448
371,243,391,156,98,407,236,445,350,85,370,451
390,240,415,237,139,437,239,271,259,122,370,454
409,246,425,262,154,436,254,404,236,160,370,457
370,247,383,184,111,424,235,283,224,197,370,460
477,269,453,255,145,449,535,650,466,234,370,463
376,209,461,313,174,460,552,631,463,271,370,467
415,262,404,190,113,429,518,560,377,308,370,469
327,225,373,175,115,389,531,657,471,345,370,473
414,256,415,187,109,441,421,557,368,382,370,476
355,214,426,367,198,475,327,257,224,419,370,478
379,218,446,276,162,435,358,266,320,456,370,481
405,240,432,286,159,461,310,258,268,493,370,484
426,238,459,237,123,494,354,261,302,531,370,487
401,243,423,249,151,423,330,263,277,568,370,490
394,238,424,241,138,446,317,271,262,568,313,493
362,241,385,252,168,383,365,248,299,531,313,496
439,232,484,360,200,460,379,281,358,493,313,499
416,255,418,298,164,465,349,266,214,456,313,501
417,260,412,311,190,419,312,283,356,419,313,504
392,248,405,150,91,422,537,551,378,382,313,507
505,258,501,340,164,532,626,593,452,345,313,509
394,238,423,205,124,423,328,624,447,308,313,513
445,253,451,249,139,456,342,681,465,271,313,517
471,259,466,273,156,448,374,661,466,234,313,521
