"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","CD34","CD38","7-AAD","IdxCol","IdxRow","Time"
120635,63861,123799,73759.9,40690,118799,61.2,1441.43,691.68,1,16,2.33906
102006,60619,110281,77183.6,41830,120925,96.05,25.5079,103.84,2,16,2.68902
98665.4,62069,104177,44425.7,26972,107945,96.9,3602.71,1365.76,3,16,2.96297
96813.3,60645,104621,74944.5,43792,112157,64.6,282.472,198,4,16,3.29375
106383,64689,107776,60161.9,37506,105124,3034.5,3348.9,789.36,5,16,3.53913
100539,66097,99685.5,30957.7,19535,103857,1110.1,4195.7,816.64,6,16,3.8432
147655,72438,133587,67290.1,33183,132897,491.3,4815.3,1127.28,7,16,4.17569
107550,64064,110021,37794.6,21369,115911,504.9,8671.46,1498.64,8,16,4.54469
122023,72421,110423,42783.5,24182,115948,502.35,5650.42,1342,9,16,4.7915
91487.5,58807,101956,74408.9,45095,108137,394.4,236.67,778.8,10,16,5.00762
124467,70394,115877,71332.6,39398,118657,316.2,180.36,153.12,11,16,5.27204
117767,63693,121175,93337.9,48147,127048,352.75,218.196,315.92,12,16,5.53192
117916,67924,113771,85934.2,48151,116961,518.5,217.295,221.76,13,16,5.80189
119368,68604,114030,57933.2,32926,115310,396.1,180.35,369.6,14,16,6.1439
127659,65973,126813,79777.4,46174,113230,328.1,276.279,120.56,13,15,6.69946
127413,68811,121349,73224.3,37850,126785,347.65,240.196,315.92,12,15,6.9349
115148,59763,126271,71209.8,39679,117614,965.6,174.998,647.68,11,15,7.16906
103590,64347,105504,81187.6,46480,114473,359.55,226.995,386.32,10,15,7.47114
126554,65802,126043,49339.7,27148,119107,571.2,5791.21,1601.6,9,15,7.761
123577,68373,118450,54742.5,31030,115617,447.1,3173.22,748,8,15,8.06791
106161,63692,109235,59789.6,34922,112204,1252.05,5810.48,1018.16,7,15,8.40708
100511,65329,100830,49149.4,29219,110238,2544.9,3997.52,1173.04,6,15,8.73587
104951,59065,116449,55761.7,30567,119554,927.35,4374.36,1207.36,5,15,9.15602
100771,67312,98112.3,35239.4,23528,98157.4,35.7,4465.12,923.12,4,15,9.43551
96315.8,63652,99166.6,26068.6,16639,102677,113.9,311.506,197.12,3,15,9.70676
84995,58001,96036.8,56503.2,36357,101851,70.55,249.031,233.2,2,15,9.9763
99523.4,58808,110909,75399,45449,108723,95.2,2020.47,561.44,1,15,10.2458
