File ID	Channel	File Name	Plate	Sample	Row	Column	Well	Sorted Population	FSC-A	FSC-H	FSC-W	SSC-A	SSC-H	SSC-W	CD34	CD38	7-AAD	Time
F1	126	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_2.raw	1	16														
F1	127N	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_2.raw	1	16	P	1	P1	CD34-	344.0	226.0	391.0	165.0	108.0	389.0	237.0	309.0	272.0	69.5825
F1	127C	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_2.raw	1	16														
F1	128N	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_2.raw	1	16	P	5	P5	CD34+CD38+	375.0	244.0	393.0	128.0	81.0	404.0	323.0	579.0	401.0	68.4173
F1	128C	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_2.raw	1	16	P	2	P2	CD34-	361.0	220.0	420.0	290.0	169.0	439.0	250.0	275.0	286.0	69.2521
F1	129N	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_2.raw	1	16	P	6	P6	CD34+CD38+	386.0	254.0	389.0	161.0	104.0	397.0	603.0	550.0	383.0	68.0992
F1	129C	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_2.raw	1	16	P	7	P7	CD34+CD38+	389.0	227.0	439.0	214.0	128.0	426.0	494.0	579.0	435.0	67.8039
F1	130N	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_2.raw	1	16	P	10	P10	CD34+CD38-	432.0	249.0	444.0	277.0	152.0	467.0	320.0	264.0	274.0	66.8488
F1	130C	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_2.raw	1	16	P	3	P3	CD34-	299.0	228.0	336.0	143.0	108.0	338.0	237.0	252.0	255.0	68.9682
F1	131N	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_2.raw	1	16	P	11	P11	CD34+CD38-	407.0	232.0	449.0	353.0	195.0	463.0	370.0	250.0	282.0	66.587
F1	131C	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_2.raw	1	16	P	4	P4	CD34-	383.0	223.0	440.0	296.0	167.0	454.0	235.0	305.0	291.0	68.7137
F1	132N	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_2.raw	1	16	P	12	P12	CD34+CD38-	359.0	234.0	392.0	301.0	180.0	428.0	300.0	288.0	243.0	66.3106
F1	132C	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_2.raw	1	16	P	8	P8	CD34+CD38+	453.0	243.0	477.0	224.0	128.0	447.0	341.0	603.0	442.0	67.3566
F1	133N	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_2.raw	1	16	P	13	P13	CD34+CD38-	429.0	270.0	406.0	213.0	123.0	444.0	295.0	262.0	274.0	65.9834
F1	133C	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_2.raw	1	16	P	9	P9	CD34+CD38+	384.0	254.0	387.0	150.0	98.0	390.0	347.0	634.0	450.0	67.0648
F1	134N	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_2.raw	1	16	P	14	P14	CD34+CD38-	339.0	239.0	364.0	116.0	79.0	375.0	331.0	246.0	267.0	65.7123
F2	126	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_4.raw	2	4														
F2	127N	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_4.raw	2	4	D	10	D10	CD34+CD38-	366.0	217.0	432.0	298.0	167.0	456.0	352.0	276.0	331.0	17.1049
F2	127C	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_4.raw	2	4														
F2	128N	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_4.raw	2	4	D	11	D11	CD34+CD38-	423.0	254.0	427.0	301.0	161.0	477.0	305.0	253.0	344.0	16.8233
F2	128C	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_4.raw	2	4	D	1	D1	CD34-	442.0	234.0	484.0	281.0	155.0	463.0	251.0	514.0	343.0	20.2868
F2	129N	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_4.raw	2	4	D	12	D12	CD34+CD38-	422.0	253.0	427.0	312.0	173.0	462.0	462.0	256.0	327.0	16.4771
F2	129C	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_4.raw	2	4	D	5	D5	CD34+CD38+	463.0	266.0	446.0	265.0	156.0	436.0	431.0	602.0	398.0	19.1996
F2	130N	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_4.raw	2	4	D	13	D13	CD34+CD38-	410.0	236.0	444.0	336.0	179.0	481.0	305.0	263.0	255.0	16.2083
F2	130C	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_4.raw	2	4	D	6	D6	CD34+CD38+	468.0	251.0	477.0	317.0	179.0	453.0	404.0	570.0	369.0	18.8538
F2	131N	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_4.raw	2	4	D	2	D2	CD34-	392.0	255.0	394.0	199.0	122.0	419.0	247.0	509.0	412.0	20.0205
F2	131C	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_4.raw	2	4	D	3	D3	CD34-	374.0	251.0	382.0	230.0	138.0	425.0	251.0	316.0	253.0	19.6945
F2	132N	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_4.raw	2	4	D	14	D14	CD34+CD38-	395.0	210.0	483.0	271.0	141.0	494.0	335.0	248.0	259.0	15.8873
F2	132C	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_4.raw	2	4	D	7	D7	CD34+CD38+	427.0	268.0	407.0	215.0	130.0	425.0	459.0	552.0	354.0	18.1843
F2	133N	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_MS2_750ms_4.raw	2	4	D	4	D4	CD34-	390.0	253.0	394.0	147.0	89.0	424.0	265.0	326.0	261.0	19.4256
