File ID	Channel	File Name	Plate	Sample	Row	Column	Well	Sorted Population	FSC-A	FSC-H	FSC-W	SSC-A	SSC-H	SSC-W	CD34	CD38	7-AAD	Time
F1	126	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_RETICLE_500ms_2.raw	1	15														
F1	127N	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_RETICLE_500ms_2.raw	1	15	O	1	O1	CD34-	377.0	232.0	416.0	242.0	137.0	453.0	251.0	255.0	241.0	61.5393
F1	127C	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_RETICLE_500ms_2.raw	1	15														
F1	128N	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_RETICLE_500ms_2.raw	1	15	O	5	O5	CD34+CD38+	518.0	261.0	508.0	220.0	132.0	426.0	418.0	578.0	414.0	62.61
F1	128C	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_RETICLE_500ms_2.raw	1	15	O	2	O2	CD34-	373.0	244.0	392.0	228.0	140.0	418.0	243.0	356.0	335.0	61.8648
F1	129N	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_RETICLE_500ms_2.raw	1	15	O	6	O6	CD34+CD38+	391.0	242.0	414.0	221.0	132.0	428.0	324.0	571.0	423.0	62.8723
F1	129C	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_RETICLE_500ms_2.raw	1	15	O	7	O7	CD34+CD38+	446.0	259.0	440.0	224.0	142.0	404.0	380.0	623.0	463.0	63.1879
F1	130N	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_RETICLE_500ms_2.raw	1	15	O	10	O10	CD34+CD38-	398.0	235.0	433.0	264.0	143.0	471.0	457.0	244.0	334.0	64.2115
F1	130C	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_RETICLE_500ms_2.raw	1	15	O	3	O3	CD34-	442.0	270.0	418.0	277.0	161.0	439.0	263.0	494.0	344.0	62.1348
F1	131N	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_RETICLE_500ms_2.raw	1	15	O	11	O11	CD34+CD38-	442.0	258.0	438.0	373.0	203.0	470.0	295.0	264.0	251.0	64.5565
F1	131C	20210618_HB_BF_U3000_uPAC_50cm_precol_127min_TMTpro5_150nlmin_2CV_scMS_RETICLE_500ms_2.raw	1	15	O	4	O4	CD34-	319.0	228.0	359.0	146.0	104.0	358.0	257.0	530.0	382.0	62.373000000000005
